database;class;sequence id;length (aa);HCA score;% strong hydrophobic;sequence coverage by foldable segment;number of removed aa
SCOPe;c;d2wu8a_;549;-0.66;0.32;0.88;0
SCOPe;c;d1wdea_;289;0.36;0.35;0.84;0
SCOPe;c;d3ksma1;275;-1.71;0.32;0.91;0
SCOPe;c;d4io2a1;246;1.86;0.39;0.97;0
SCOPe;c;d1pkxa2;392;0.36;0.34;0.99;0
SCOPe;c;d2o8na_;233;1.81;0.37;0.99;0
SCOPe;c;d2hcfa1;228;0.17;0.33;0.98;0
SCOPe;c;d2hi0a1;239;0.31;0.34;0.99;0
SCOPe;c;d2d1pb1;119;1.58;0.38;1.00;0
SCOPe;c;d3o7ba_;216;1.16;0.37;0.88;0
SCOPe;c;d1nxua_;332;0.03;0.34;0.94;0
SCOPe;c;d3k6ma2;219;1.16;0.37;1.00;0
SCOPe;c;d2nvva1;217;-2.21;0.32;0.73;0
SCOPe;c;d3mvka_;140;-0.96;0.37;0.94;0
SCOPe;c;d5f33a1;298;0.49;0.37;0.93;0
SCOPe;d;d1chka_;238;-2.59;0.28;0.68;0
SCOPe;d;d1deua_;275;-0.51;0.32;0.85;0
SCOPe;d;d2bkra_;212;-0.91;0.36;0.97;0
SCOPe;d;d2zfya_;227;1.47;0.36;0.90;0
SCOPe;d;d2pu3a_;207;-0.23;0.31;0.86;0
SCOPe;d;d5ob5a_;63;0.59;0.35;0.97;0
SCOPe;b;d1y71a1;124;0.73;0.33;0.99;0
SCOPe;b;d3cs0a2;88;-2.09;0.31;0.91;0
SCOPe;b;d2qi2a1;126;1.41;0.33;0.96;0
SCOPe;b;d1xjva2;151;2.68;0.39;0.95;0
SCOPe;b;d2r7da2;401;-2.10;0.29;0.79;0
SCOPe;b;d4dama1;112;-0.32;0.30;0.96;0
SCOPe;b;d5hn1a_;158;-1.19;0.34;0.96;0
SCOPe;d;g1cp9.1;750;-0.87;0.32;0.86;0
SCOPe;d;d5hkea_;322;1.47;0.36;1.00;0
SCOPe;d;d2q42a2;253;-0.97;0.32;0.97;0
SCOPe;d;d1s3la_;165;2.76;0.41;1.00;0
SCOPe;d;d1ikpa2;212;-2.61;0.29;0.90;0
SCOPe;d;d1d4ca3;146;-1.33;0.32;0.74;0
SCOPe;d;d4m17a_;140;-1.93;0.30;0.86;0
SCOPe;d;d1yu3a2;210;-2.84;0.28;0.49;0
SCOPe;d;d4lmsa_;80;-2.51;0.29;0.60;0
SCOPe;d;d2pkha1;141;-0.72;0.33;0.79;0
SCOPe;d;d1xkpc1;126;1.60;0.38;0.94;0
SCOPe;d;d1k1aa_;228;-0.35;0.33;0.96;0
SCOPe;d;d1oqja_;90;2.72;0.41;0.98;0
SCOPe;d;d4k8va1;247;0.19;0.34;0.96;0
SCOPe;d;d1gpqa_;127;-1.13;0.31;0.98;0
SCOPe;d;d1kska4;172;-0.69;0.33;0.99;0
SCOPe;d;d1r7la1;96;2.04;0.40;0.95;0
SCOPe;d;d3dgpb_;63;2.63;0.38;0.87;0
SCOPe;d;d5x7va_;189;0.90;0.35;1.00;0
SCOPe;d;d2ffga1;78;0.74;0.37;0.96;0
SCOPe;d;d5m1ea2;167;1.75;0.40;0.83;0
SCOPe;d;d4g6ub_;163;0.52;0.35;0.82;0
SCOPe;d;d2jlia_;100;-0.39;0.35;0.86;0
SCOPe;d;d5cfla1;185;0.35;0.37;0.98;0
SCOPe;a;d1xbla_;75;-1.84;0.24;0.85;0
SCOPe;a;d1qoja_;46;1.33;0.30;0.85;0
SCOPe;a;d2hjda_;89;1.80;0.37;0.96;0
SCOPe;a;d1ftta_;68;-3.00;0.29;0.75;0
SCOPe;a;d1u78a2;50;-4.54;0.24;0.42;0
SCOPe;a;d1igna1;86;0.12;0.34;0.84;0
SCOPe;a;d2g7la1;68;2.46;0.35;0.91;0
SCOPe;a;d2o3fa1;83;1.23;0.31;0.86;0
SCOPe;a;d2d9aa1;47;0.81;0.34;0.98;0
SCOPe;a;d5cj9a1;73;0.38;0.33;0.95;0
SCOPe;a;d2fnaa1;73;1.37;0.37;0.89;0
SCOPe;a;d2gxbb2;62;-2.08;0.27;0.92;0
SCOPe;a;d1ub9a_;100;3.04;0.40;1.00;0
SCOPe;a;d2csoa1;114;-1.18;0.35;0.74;0
SCOPe;a;d2p6ra1;85;5.00;0.41;0.99;0
SCOPe;a;d1u5tb2;75;2.61;0.41;0.95;0
SCOPe;a;d2obpa1;81;-2.35;0.32;0.93;0
SCOPe;a;d3mwma_;127;0.61;0.28;0.91;0
SCOPe;a;d1e3ha1;83;-0.35;0.28;0.87;0
SCOPe;a;d1cuka1;48;-1.00;0.25;0.83;0
SCOPe;a;d2mj5b1;47;2.74;0.40;0.79;0
SCOPe;a;d1nvma1;51;-0.33;0.39;0.92;0
SCOPe;a;d1quua2;124;2.27;0.31;0.94;0
SCOPe;a;d1uk5a1;98;-0.84;0.26;0.74;0
SCOPe;a;d1gjsa_;65;0.00;0.35;0.63;0
SCOPe;a;d4f7ga1;100;0.25;0.34;0.80;0
SCOPe;a;d1d2da1;51;-0.78;0.31;0.78;0
SCOPe;a;d1wxla1;70;-3.77;0.23;0.84;0
SCOPe;a;d2j7pe1;52;2.79;0.35;0.94;0
SCOPe;c;d1xi3a_;206;1.01;0.34;0.87;0
SCOPe;c;d1jaea2;378;0.47;0.34;0.90;0
SCOPe;c;d3n9ka_;394;1.36;0.36;0.94;0
SCOPe;c;d3weoa2;373;0.02;0.36;0.79;0
SCOPe;c;d1itua_;369;0.88;0.34;0.93;0
SCOPe;c;d4i6ka_;267;1.27;0.37;0.92;0
SCOPe;c;d5huda_;444;-0.40;0.31;0.91;0
SCOPe;c;d1jpdx1;208;-0.94;0.35;0.86;0
SCOPe;c;d2hzga2;265;-2.23;0.29;0.63;0
SCOPe;c;d1jqna_;880;0.75;0.34;0.90;0
SCOPe;c;d1olta_;441;1.29;0.37;0.95;0
SCOPe;c;d1lc0a1;172;0.48;0.38;0.96;0
SCOPe;c;d1vjpa3;274;1.27;0.36;0.99;0
SCOPe;c;d1gpja2;159;0.88;0.31;0.91;0
SCOPe;c;d1lssa_;132;3.80;0.40;0.98;0
SCOPe;c;d3gema_;232;-0.35;0.35;0.81;0
SCOPe;c;d1ukvg2;47;-0.36;0.30;0.72;0
SCOPe;c;d5f4ca_;90;3.43;0.40;0.98;0
SCOPe;c;d1xkua_;305;0.60;0.35;0.98;0
SCOPe;c;d2j01n1;139;0.02;0.32;0.88;0
SCOPe;c;d4om7a_;143;0.33;0.41;0.99;0
SCOPe;c;d1ykga1;146;0.03;0.31;0.97;0
SCOPe;c;d1k7ca_;233;-1.30;0.32;0.66;0
SCOPe;c;d1mx3a2;132;2.02;0.36;0.98;0
SCOPe;c;d1sy7a1;184;0.55;0.32;0.86;0
SCOPe;c;d2o5ra1;312;-0.26;0.36;0.87;0
SCOPe;c;d1q77a1;135;3.38;0.41;0.99;0
SCOPe;c;d2dpla1;189;1.98;0.35;0.98;0
SCOPe;c;d3etja2;78;0.67;0.36;0.95;0
SCOPe;c;d4wgfa_;202;1.09;0.36;0.99;0
SCOPe;c;d1jsca2;188;-0.56;0.33;0.93;0
SCOPe;c;d1p6xa1;330;1.46;0.37;0.94;0
SCOPe;c;d1nsta_;301;-0.40;0.35;0.86;0
SCOPe;c;d2dapa1;170;-1.45;0.32;0.87;0
SCOPe;c;d1j5pa4;130;4.18;0.42;0.99;0
SCOPe;c;d2aefa1;129;-0.14;0.36;0.98;0
SCOPe;c;d1d5ta1;336;1.28;0.38;0.94;0
SCOPe;c;d3rpta1;274;-3.97;0.25;0.65;0
SCOPe;c;d1vq8y1;142;-4.94;0.21;0.55;0
SCOPe;c;d1ds9a_;198;2.85;0.35;0.91;0
SCOPe;c;d1knva_;290;1.10;0.34;0.90;0
SCOPe;c;d1rzna_;165;-0.06;0.36;0.86;0
SCOPe;c;d1ghta_;105;-0.85;0.32;0.70;0
SCOPe;c;d1t6ca2;180;3.02;0.38;0.95;0
SCOPe;c;d1pv9a1;117;2.28;0.41;1.00;0
SCOPe;c;d1bcoa2;223;1.16;0.34;0.90;0
SCOPe;c;d1kcfa2;218;1.80;0.37;0.99;0
SCOPe;c;d3l00a1;87;-2.72;0.32;0.66;0
SCOPe;c;d1vgya1;262;-1.02;0.31;0.90;0
SCOPe;c;d3vpxa1;133;-0.18;0.33;1.00;0
SCOPe;c;d4igia_;197;0.60;0.36;0.95;0
SCOPe;c;d1im8a_;225;2.46;0.39;0.92;0
SCOPe;c;d1qama_;235;2.15;0.39;0.95;0
SCOPe;c;d2b9ea1;293;-1.43;0.33;0.90;0
SCOPe;c;d2b78a2;317;2.44;0.38;1.00;0
SCOPe;c;d2plwa_;198;2.38;0.41;0.96;0
SCOPe;c;d2pbla1;261;0.11;0.34;0.91;0
SCOPe;c;d1xkta1;285;0.99;0.35;0.99;0
SCOPe;c;d1vk4a1;281;1.27;0.36;1.00;0
SCOPe;c;d4a7wa_;235;1.23;0.37;0.98;0
SCOPe;c;d2q1sa_;351;-0.58;0.32;0.81;0
SCOPe;c;d3e9na_;225;-0.75;0.31;0.89;0
SCOPe;c;d1seza1;373;0.75;0.33;0.87;0
SCOPe;c;d2vyoa_;206;1.72;0.35;0.94;0
SCOPe;c;d3kasa2;193;-1.41;0.33;0.81;0
SCOPe;c;d1igra1;149;4.09;0.45;0.90;0
SCOPe;c;d3g39a_;167;0.42;0.35;0.91;0
SCOPe;c;d1yg6a_;193;0.38;0.37;0.96;0
SCOPe;c;g1sc3.1;261;-0.15;0.34;0.86;0
SCOPe;c;d1flca2;271;-1.31;0.31;0.80;0
SCOPe;c;d2naca2;186;-1.23;0.33;0.76;0
SCOPe;c;d2piaa2;120;-0.16;0.33;0.91;0
SCOPe;c;d1h3na3;494;0.94;0.37;0.92;0
SCOPe;c;d3tzla_;319;1.28;0.35;0.94;0
SCOPe;c;d1a9xa4;121;-0.68;0.34;0.77;0
SCOPe;c;d2ejba_;183;2.87;0.43;1.00;0
SCOPe;c;d1l8aa1;415;0.27;0.33;0.98;0
SCOPe;c;d1zj6a1;177;1.56;0.41;0.99;0
SCOPe;c;d2ncda_;368;0.32;0.34;0.87;0
SCOPe;c;d1tf7a1;242;0.84;0.36;0.89;0
SCOPe;c;d2p6ra4;201;0.16;0.33;0.88;0
SCOPe;c;d1iqpa2;231;0.58;0.34;0.98;0
SCOPe;c;d2z0ma2;139;1.81;0.35;0.99;0
SCOPe;c;d5jxga1;334;-0.22;0.28;0.85;0
SCOPe;c;d2h4ta3;409;0.13;0.34;0.84;0
SCOPe;c;d1g4us2;243;-0.73;0.30;0.89;0
SCOPe;c;d3lefa1;163;3.88;0.37;0.98;0
SCOPe;c;d1jfua_;176;-1.05;0.30;0.94;0
SCOPe;c;d1sjia1;124;1.47;0.40;0.97;0
SCOPe;c;d3hdca1;147;-0.02;0.35;0.86;0
SCOPe;a;d3cz1a_;117;-1.21;0.38;0.80;0
SCOPe;a;d2cpga_;43;4.53;0.35;0.91;0
SCOPe;a;d1hs7a_;97;1.03;0.29;0.82;0
SCOPe;a;d3ag3h_;79;0.51;0.33;0.82;0
SCOPe;a;d3zy0d_;26;2.69;0.50;0.96;0
SCOPe;a;d2y9ta1;80;1.94;0.38;0.80;0
SCOPe;a;d3n4mb_;74;0.07;0.38;0.95;0
SCOPe;a;d2e1fa_;94;-1.49;0.34;0.85;0
SCOPe;a;d1g03a_;134;-0.74;0.28;0.82;0
SCOPe;a;d1aisb1;98;2.80;0.36;0.93;0
SCOPe;a;d4rhwe_;95;-0.42;0.34;0.86;0
SCOPe;a;d1b79a_;102;0.59;0.30;0.88;0
SCOPe;a;d1htjf_;182;-0.21;0.34;0.98;0
SCOPe;a;d1nxca_;467;1.72;0.37;0.92;0
SCOPe;a;d1gxma1;323;-1.31;0.31;0.87;0
SCOPe;a;d1qhda1;213;1.77;0.37;1.00;0
SCOPe;a;d1bpoa1;157;-0.33;0.34;0.78;0
SCOPe;a;d1a17a_;159;0.39;0.30;0.84;0
SCOPe;a;d3txna1;285;1.63;0.34;0.90;0
SCOPe;a;d1ouva1;263;0.65;0.32;0.90;0
SCOPe;a;d2yvea2;101;0.81;0.37;0.95;0
SCOPe;a;d4f5sa3;196;0.87;0.35;0.95;0
SCOPe;a;d5dz2a_;326;0.28;0.33;0.91;0
SCOPe;a;d2hld1_;37;-2.27;0.30;0.54;0
SCOPe;a;d2ez6a1;148;3.41;0.41;0.95;0
SCOPe;a;d2qalm1;114;-0.10;0.29;0.75;0
SCOPe;a;d2kzga_;56;-1.95;0.27;0.80;0
SCOPe;a;d2f2ab1;118;0.50;0.33;0.75;0
SCOPe;a;d1pn1a_;176;1.14;0.32;0.82;0
SCOPe;a;d2a7wa1;91;-0.42;0.33;0.93;0
SCOPe;a;d2ou6a1;183;-1.52;0.31;0.79;0
SCOPe;a;d1xoub_;84;1.90;0.31;0.88;0
SCOPe;a;d2qklb_;90;1.69;0.39;0.92;0
SCOPe;a;d1ykha_;95;4.62;0.42;0.97;0
SCOPe;a;d2bw3a1;84;1.98;0.35;0.82;0
SCOPe;a;d1uz3a_;102;-0.45;0.31;0.90;0
SCOPe;a;d3v6pa_;373;-1.89;0.32;0.98;0
SCOPe;b;d5e56a_;116;1.47;0.39;0.99;0
SCOPe;a;d1tc3c_;51;-0.37;0.33;0.69;0
SCOPe;a;d2id3a1;68;-2.06;0.26;0.81;0
SCOPe;a;d2jn6a1;89;-2.93;0.25;0.52;0
SCOPe;a;d1aoya_;78;-0.91;0.32;0.85;0
SCOPe;a;d1t0fa1;100;3.89;0.40;0.98;0
SCOPe;a;d1i27a1;69;-1.07;0.30;0.93;0
SCOPe;a;d1u5tb1;94;5.32;0.44;0.93;0
SCOPe;a;d2od5a1;91;0.31;0.31;0.90;0
SCOPe;a;d4etsa_;146;0.34;0.37;0.86;0
SCOPe;a;d3eyya_;133;2.01;0.32;0.96;0
SCOPe;a;d3q9sa2;90;1.62;0.36;0.97;0
SCOPe;a;d1whua1;91;1.87;0.36;0.85;0
SCOPe;c;d3w68a2;185;3.17;0.40;0.98;0
SCOPe;c;d1sg4a1;249;1.37;0.37;0.99;0
SCOPe;c;d3hp0a_;250;1.12;0.37;0.89;0
SCOPe;c;d2ebua1;105;-1.01;0.30;0.84;0
SCOPe;c;d1vk2a_;191;-1.47;0.36;0.81;0
SCOPe;c;d1dcfa_;134;2.49;0.41;0.99;0
SCOPe;c;d3mgka_;199;-0.58;0.37;0.88;0
SCOPe;c;d1q15a1;296;3.35;0.36;0.98;0
SCOPe;c;d2c5sa1;218;2.53;0.35;1.00;0
SCOPe;d;d1hp1a1;188;-0.19;0.32;0.91;0
SCOPe;d;d3dl5b2;341;2.01;0.38;0.99;0
SCOPe;d;d3fv5a_;201;-0.54;0.33;0.90;0
SCOPe;d;d1h70a_;255;0.23;0.35;1.00;0
SCOPe;d;d1f52a2;368;-1.11;0.32;0.90;0
SCOPe;d;d1mp9a2;101;-0.20;0.40;0.84;0
SCOPe;d;d2fpna1;214;1.30;0.35;0.95;0
SCOPe;d;d3tdea2;120;-0.54;0.35;0.91;0
SCOPe;d;d1t6la1;126;2.03;0.37;0.94;0
SCOPe;d;d1v0wa1;258;-1.33;0.28;0.82;0
SCOPe;d;d3etja3;198;-0.67;0.34;0.93;0
SCOPe;d;d2yrxa2;221;-1.06;0.31;0.90;0
SCOPe;d;d2cnqa_;304;-0.82;0.34;0.83;0
SCOPe;d;d1xh9a_;338;2.01;0.37;0.99;0
SCOPe;d;d3fega_;347;1.32;0.38;0.90;0
SCOPe;d;d2buja1;287;0.07;0.38;0.98;0
SCOPe;d;d5l5ak_;211;1.60;0.37;0.90;0
SCOPe;d;g1mhm.1;323;1.22;0.36;0.99;0
SCOPe;d;d1zkpa1;244;-0.82;0.35;0.92;0
SCOPe;d;d5xcea_;180;1.17;0.39;0.89;0
SCOPe;d;d1a0pa2;182;0.27;0.37;0.95;0
SCOPe;d;d1by2a_;116;-1.41;0.30;0.71;0
SCOPe;d;d1mjta1;345;1.31;0.36;0.97;0
SCOPe;d;d1pp9b1;219;1.76;0.34;0.95;0
SCOPe;d;d4jmfb_;116;-2.45;0.32;0.64;0
SCOPe;d;d4fyla1;91;2.22;0.34;0.91;0
SCOPe;d;d1wdya_;285;-0.12;0.34;0.88;0
SCOPe;d;d3b95a1;234;-0.37;0.34;0.91;0
SCOPe;d;d1vfga2;136;2.29;0.37;0.82;0
SCOPe;d;d5wkpd_;118;1.88;0.32;0.98;0
SCOPe;d;d1yzsa1;121;-1.62;0.31;0.76;0
SCOPe;d;d1vcla3;149;1.23;0.32;0.99;0
SCOPe;d;d2rsfa1;97;-2.49;0.31;0.72;0
SCOPe;d;d2dira1;85;0.73;0.40;0.96;0
SCOPe;d;d1w6va1;120;-0.07;0.35;0.67;0
SCOPe;d;d2outa2;67;-0.55;0.30;0.78;0
SCOPe;d;d2hh8a1;127;2.00;0.40;0.83;0
SCOPe;d;d2dbsa1;80;1.40;0.42;0.97;0
SCOPe;d;d4xgab2;83;0.57;0.33;0.92;0
SCOPe;a;d4hswa_;137;0.01;0.34;0.95;0
SCOPe;a;d1x3ka_;152;1.42;0.36;0.99;0
SCOPe;a;d1z0pa1;77;1.86;0.31;0.73;0
SCOPe;a;d1c52a_;131;-0.24;0.32;0.95;0
SCOPe;a;d1le8b_;74;-1.45;0.31;0.81;0
SCOPe;a;d2r5za_;87;-1.09;0.29;0.64;0
SCOPe;a;d2cu7a1;65;2.94;0.32;0.85;0
SCOPe;a;d5mymc1;85;-2.68;0.31;0.75;0
SCOPe;a;d2np5a1;69;0.93;0.30;0.90;0
SCOPe;a;d1mgta1;81;1.81;0.37;0.96;0
SCOPe;a;d1r1ta_;98;3.07;0.38;0.99;0
SCOPe;d;d2dgxa1;83;2.33;0.33;0.90;0
SCOPe;d;d5lj3n1;121;2.98;0.39;0.99;0
SCOPe;d;d3ue2a1;117;0.22;0.33;0.84;0
SCOPe;d;d2dnqa1;77;1.71;0.34;0.87;0
SCOPe;d;d1cc7a_;72;3.24;0.39;0.79;0
SCOPe;d;d2ofhx_;71;2.59;0.32;0.87;0
SCOPe;d;d2qrra1;97;2.29;0.38;0.95;0
SCOPe;d;d1h72c2;133;3.56;0.41;1.00;0
SCOPe;d;d2vfra1;238;0.79;0.33;0.92;0
SCOPe;d;d1rwua_;87;2.24;0.38;0.78;0
SCOPe;d;d2a6mb_;150;2.19;0.37;0.97;0
SCOPe;d;d1r8ea2;157;1.32;0.38;0.99;0
SCOPe;d;d1lbua2;130;-2.13;0.27;0.64;0
SCOPe;d;d4c2mc1;159;1.23;0.35;0.97;0
SCOPe;d;d3i7ta_;118;0.39;0.34;0.72;0
SCOPe;d;d2qtpa1;169;-2.41;0.30;0.56;0
SCOPe;d;d2g17a2;155;0.98;0.37;0.81;0
SCOPe;d;d1ykia_;216;-1.42;0.32;0.71;0
SCOPe;d;d4af1a1;138;0.07;0.30;0.80;0
SCOPe;d;d3zuka_;660;0.35;0.32;0.96;0
SCOPe;d;d2oq1a2;124;-1.01;0.35;0.80;0
SCOPe;d;d1dq3a3;98;3.48;0.41;0.92;0
SCOPe;d;d4aeya_;117;2.92;0.38;0.96;0
SCOPe;d;d2po1b2;87;1.61;0.34;0.93;0
SCOPe;d;d2cy2a1;174;-0.07;0.36;0.97;0
SCOPe;d;d1lrza2;165;2.51;0.40;0.99;0
SCOPe;d;d4ufwa3;200;3.74;0.42;1.00;0
SCOPe;d;d4qwoa1;133;-1.63;0.35;0.78;0
SCOPe;d;d1xfna_;100;1.03;0.35;1.00;0
SCOPe;d;d2w27a2;145;1.87;0.39;0.94;0
SCOPe;d;d1a3aa_;145;-0.32;0.34;0.97;0
SCOPe;d;d2o5fa_;162;-0.83;0.33;0.84;0
SCOPe;d;d2z1aa1;205;1.20;0.36;0.99;0
SCOPe;d;d1qnaa1;99;0.07;0.34;0.92;0
SCOPe;d;d2pwwa1;113;1.26;0.39;0.89;0
SCOPe;d;d1t6la2;135;1.18;0.38;0.92;0
SCOPe;d;d1v0wa2;246;-0.98;0.30;0.83;0
SCOPe;d;d1tqia2;192;2.90;0.39;0.99;0
SCOPe;d;d1vr7a_;120;3.18;0.37;0.97;0
SCOPe;d;d3rqza1;243;0.62;0.36;1.00;0
SCOPe;b;d2ifga1;92;-0.75;0.35;0.95;0
SCOPe;b;d1xaua_;104;1.05;0.38;0.99;0
SCOPe;b;d5eb9a_;112;-1.21;0.34;0.69;0
SCOPe;c;d1ihua2;276;-1.01;0.31;0.97;0
SCOPe;c;d1e9ra_;433;-0.43;0.32;0.90;0
SCOPe;c;d2zr9a1;266;0.52;0.32;0.97;0
SCOPe;c;d1w1wa_;427;0.71;0.33;0.95;0
SCOPe;c;d2fz4a1;206;1.93;0.37;0.91;0
SCOPe;c;d1wp9a2;286;-0.86;0.34;0.75;0
SCOPe;c;d2fnaa2;283;2.81;0.41;0.93;0
SCOPe;c;d3d8ba_;301;-0.80;0.34;0.99;0
SCOPe;c;d2e1va1;236;0.64;0.39;0.92;0
SCOPe;c;d4jgta2;137;-0.90;0.31;0.74;0
SCOPe;c;d1j08a2;107;1.50;0.39;0.91;0
SCOPe;c;d1xiya1;179;0.87;0.39;0.94;0
SCOPe;c;d1z3ea1;114;-0.27;0.38;1.00;0
SCOPe;c;d4wbja_;157;-1.43;0.32;0.85;0
SCOPe;c;d1u6ta1;113;-4.18;0.27;0.66;0
SCOPe;c;d3ir4a1;75;1.17;0.43;0.96;0
SCOPe;c;d1hc7a1;127;-0.91;0.32;0.82;0
SCOPe;c;d2i9ia1;221;1.05;0.35;0.94;0
SCOPe;c;d2bgwa2;133;0.76;0.36;0.95;0
SCOPe;c;d1r0va2;91;5.20;0.41;0.99;0
SCOPe;c;d3ct6a1;123;2.45;0.37;0.98;0
SCOPe;c;d1zc6a1;114;-0.69;0.26;0.94;0
SCOPe;c;d1yqea1;278;0.91;0.33;1.00;0
SCOPe;c;d1c1da2;148;-0.66;0.28;0.95;0
SCOPe;c;d1dqna_;230;2.57;0.38;1.00;0
SCOPe;c;d1tw3a2;253;0.55;0.33;0.96;0
SCOPe;c;d1jsxa_;207;1.79;0.38;0.98;0
SCOPe;c;d1ne2a_;197;-0.25;0.35;0.88;0
SCOPe;c;d2iftb1;159;-0.39;0.35;0.96;0
SCOPe;c;d2gpya_;210;1.70;0.37;0.98;0
SCOPe;c;d1b9ha_;384;-0.64;0.30;0.88;0
SCOPe;c;d1lzja_;283;2.16;0.41;1.00;0
SCOPe;c;d4h0ca1;207;0.21;0.34;0.96;0
SCOPe;c;d4b6ga1;273;-0.52;0.34;0.92;0
SCOPe;c;d1juva_;193;2.26;0.38;0.99;0
SCOPe;c;d2qcva_;330;0.30;0.34;0.99;0
SCOPe;b;d4oy6a_;186;-1.90;0.31;0.94;0
SCOPe;b;d3e9ta1;110;0.62;0.39;0.82;0
SCOPe;b;d2a73b1;105;2.62;0.40;0.99;0
SCOPe;b;d1n67a2;190;-0.99;0.31;0.83;0
SCOPe;b;d1d2oa1;90;-1.20;0.26;0.92;0
SCOPe;b;d1qhqa_;139;-1.86;0.29;0.86;0
SCOPe;b;d2wsda2;174;-2.33;0.33;0.76;0
SCOPe;b;d4elda_;117;-0.21;0.35;0.99;0
SCOPe;b;d1kn3a_;180;-1.02;0.33;0.85;0
SCOPe;b;d1r64a1;141;0.01;0.33;0.91;0
SCOPe;b;d1uf2c2;153;-0.71;0.35;0.96;0
SCOPe;b;d1cb8a2;101;-0.82;0.34;0.90;0
SCOPe;b;d1dmza_;158;-0.27;0.37;0.97;0
SCOPe;b;d1h30a1;191;2.10;0.39;0.96;0
SCOPe;b;d2c1fa1;218;-0.50;0.32;0.99;0
SCOPe;b;d2i7fa_;102;1.37;0.37;0.95;0
SCOPe;b;d1ov3a2;69;-0.46;0.35;0.72;0
SCOPe;b;d2ekha1;67;-0.46;0.33;0.78;0
SCOPe;b;d1dj7b_;73;3.52;0.36;1.00;0
SCOPe;b;d2joya1;96;0.41;0.35;0.94;0
SCOPe;b;d2g3ra2;66;0.42;0.33;0.95;0
SCOPe;b;d3mtsa1;61;1.28;0.36;0.89;0
SCOPe;b;d1be9a_;115;-3.01;0.30;0.76;0
SCOPe;b;d2dlua1;98;-0.35;0.34;0.96;0
SCOPe;b;d3dgsa1;58;1.34;0.40;0.90;0
SCOPe;b;d1kq1a_;60;2.35;0.38;0.90;0
SCOPe;b;d1ltrd_;108;0.72;0.33;0.94;0
SCOPe;b;d2rdga1;89;-2.84;0.26;0.83;0
SCOPe;b;d1kxla_;187;4.04;0.40;0.95;0
SCOPe;b;d1smxa_;87;-1.07;0.30;0.94;0
SCOPe;b;d1gm5a2;180;1.73;0.36;0.97;0
SCOPe;b;d5ie8a_;89;1.20;0.35;0.89;0
SCOPe;b;d1liza_;114;-0.46;0.34;1.00;0
SCOPe;b;d1pm3a1;77;1.96;0.38;0.94;0
SCOPe;b;d1jlya2;146;1.60;0.39;1.00;0
SCOPe;b;d3llpa4;111;-0.81;0.34;0.81;0
SCOPe;b;d3qfta1;276;-0.71;0.34;0.97;0
SCOPe;b;d1i0ra_;161;0.80;0.35;0.95;0
SCOPe;b;d2jn9a1;95;2.48;0.34;0.92;0
SCOPe;b;d2r9va1;80;4.38;0.39;0.97;0
SCOPe;b;d1miqa_;373;1.72;0.39;0.99;0
SCOPe;b;d2ae0x1;335;-1.68;0.31;0.83;0
SCOPe;b;d1feua_;185;0.51;0.37;0.90;0
SCOPe;b;d1isna2;126;-0.17;0.35;0.84;0
SCOPe;d;d3c20a3;67;1.94;0.39;0.97;0
SCOPe;d;d1mg7a2;193;-1.71;0.33;0.77;0
SCOPe;d;d1ftra2;148;-0.61;0.33;0.72;0
SCOPe;d;d1iwga2;104;-0.76;0.34;0.94;0
SCOPe;d;d1woja_;214;0.07;0.33;0.99;0
SCOPe;d;d1xp2b1;148;-1.65;0.31;0.73;0
SCOPe;d;d1l0wa2;120;-0.95;0.31;0.99;0
SCOPe;d;d3ej7a_;53;-0.98;0.34;0.94;0
SCOPe;d;d3abfa_;64;0.28;0.38;0.91;0
SCOPe;d;d1r0ka3;138;-0.01;0.36;0.93;0
SCOPe;d;d3iam7_;127;0.00;0.33;0.94;0
SCOPe;d;d3p57j_;90;0.72;0.36;0.92;0
SCOPe;d;d4urpa_;191;0.84;0.33;0.97;0
SCOPe;d;d1lmla_;475;0.08;0.34;0.95;0
SCOPe;d;d1xaxa_;144;0.85;0.35;0.99;0
SCOPe;d;d1wura_;185;3.35;0.39;0.99;0
SCOPe;d;d1vrma1;309;0.62;0.36;0.99;0
SCOPe;d;d1pp0a_;194;1.08;0.36;0.96;0
SCOPe;b;d1f3ub_;149;-2.07;0.29;0.79;0
SCOPe;b;d2b4wa1;310;-0.20;0.36;0.90;0
SCOPe;b;d1suua_;304;-0.87;0.36;0.99;0
SCOPe;b;d1zr7a1;28;-7.96;0.18;0.11;0
SCOPe;b;d1rwra_;297;-2.63;0.27;0.78;0
SCOPe;b;d1lr5a_;160;-0.69;0.36;0.93;0
SCOPe;b;d5tpua1;132;2.51;0.41;1.00;0
SCOPe;b;d1ds1a_;323;-1.28;0.29;0.86;0
SCOPe;b;d5mlka3;126;-0.60;0.29;0.94;0
SCOPe;b;d2paja1;139;-1.24;0.35;0.79;0
SCOPe;b;d4afha_;213;2.94;0.42;0.97;0
SCOPe;b;d1k9ca1;73;-6.60;0.16;0.32;0
SCOPe;b;d1h8ga_;95;-0.02;0.35;0.95;0
SCOPe;b;d1o75a3;200;-0.43;0.29;0.98;0
SCOPe;b;d1fpn1_;269;-0.71;0.32;0.85;0
SCOPe;b;d3cjia_;258;-2.28;0.33;0.78;0
SCOPe;b;d2fe0a1;130;0.55;0.32;0.85;0
